paper_id,title,author,venue_name,publish_date,year,url,code,code_confidence,abstract,doi,arxiv_id,source,sources,citations,tags,relevance_score,ranking_score,crawl_timestamp
2405.10992v1,Overcoming Catastrophic Forgetting by Exemplar Selection in Task-oriented Dialogue System,"Chen Chen, Ruizhe Li, Yuchen Hu, Yuanyuan Chen, Chengwei Qin, Qiang Zhang",arXiv,2024-05-16,2024,http://arxiv.org/abs/2405.10992v1,https://github.com/zzz47zzz/awesome-lifelong-learning-methods-for-llm,high,"Intelligent task-oriented dialogue systems (ToDs) are expected to continuously acquire new knowledge, also known as Continual Learning (CL), which is crucial to fit ever-changing user needs. However, catastrophic forgetting dramatically degrades the model performance in face of a long streamed curriculum. In this paper, we aim to overcome the forgetting problem in ToDs and propose a method (HESIT) with hyper-gradient-based exemplar strategy, which samples influential exemplars for periodic retraining. Instead of unilaterally observing data or models, HESIT adopts a profound exemplar selection strategy that considers the general performance of the trained model when selecting exemplars for each task domain. Specifically, HESIT analyzes the training data influence by tracing their hyper-gradient in the optimization process. Furthermore, HESIT avoids estimating Hessian to make it compatible for ToDs with a large pre-trained model. Experimental results show that HESIT effectively alleviates catastrophic forgetting by exemplar selection, and achieves state-of-the-art performance on the largest CL benchmark of ToDs in terms of all metrics.",,2405.10992v1,arxiv,arxiv,,"continual_learning, rehearsal",17,85.00,2026-07-02T08:00:49+00:00
2606.00442v1,Exploiting weight-space symmetries for approximating curvature,"Artem Artemev, Rui Xia, Benjamin M. Boyd, Youjing Yu, Felix Dangel, Guillaume Hennequin, Alberto Bernacchia",arXiv,2026-05-30,2026,http://arxiv.org/abs/2606.00442v1,https://github.com/JiwenJ/Awesome-Optimizers,high,"Many machine learning techniques rely on approximating a loss function's curvature, but this is notoriously hard to do at the scale of modern deep networks. Surprisingly, no previous work has exploited the curvature constraints that arise from well known weight-space symmetries in loss landscapes. By analytically averaging over group actions that leave the loss invariant, we construct structured Hessian approximations from single gradients that can be tractably estimated, stored, and inverted. The choice of user-specified symmetry group directly governs the trade-off between approximation accuracy and computational cost. Moreover, our framework provides a unifying theoretical lens for viewing existing methods; in particular, a specific choice of symmetry group recovers Shampoo/Muon-like curvature estimates. We validate our method on a range of network architectures, and deploy it to second-order optimization benchmarks, including a small language model. Our curvature estimation framework might find applications in other machine learning problems such as uncertainty estimation, continual learning, compression/pruning, training data attribution, and more.",,2606.00442v1,arxiv,arxiv,,"training_data_attribution, continual_learning",11,73.38,2026-07-02T08:00:49+00:00
2209.12241v1,Exploring Example Influence in Continual Learning,"Qing Sun, Fan Lyu, Fanhua Shang, Wei Feng, Liang Wan",arXiv,2022-09-25,2022,http://arxiv.org/abs/2209.12241v1,https://github.com/xialeiliu/Awesome-Incremental-Learning,high,"Continual Learning (CL) sequentially learns new tasks like human beings, with the goal to achieve better Stability (S, remembering past tasks) and Plasticity (P, adapting to new tasks). Due to the fact that past training data is not available, it is valuable to explore the influence difference on S and P among training examples, which may improve the learning pattern towards better SP. Inspired by Influence Function (IF), we first study example influence via adding perturbation to example weight and computing the influence derivation. To avoid the storage and calculation burden of Hessian inverse in neural networks, we propose a simple yet effective MetaSP algorithm to simulate the two key steps in the computation of IF and obtain the S- and P-aware example influence. Moreover, we propose to fuse two kinds of example influence by solving a dual-objective optimization problem, and obtain a fused influence towards SP Pareto optimality. The fused influence can be used to control the update of model and optimize the storage of rehearsal. Empirical results show that our algorithm significantly outperforms state-of-the-art methods on both task- and class-incremental benchmark CL datasets.",,2209.12241v1,arxiv,arxiv,,"influence_functions, continual_learning, rehearsal",12,70.74,2026-07-02T08:00:49+00:00
2308.01937v4,Training Data Protection with Compositional Diffusion Models,"Aditya Golatkar, Alessandro Achille, Ashwin Swaminathan, Stefano Soatto",arXiv,2023-08-02,2023,http://arxiv.org/abs/2308.01937v4,https://github.com/WangWenhao0716/Awesome-Diffusion-Replication,high,"We introduce Compartmentalized Diffusion Models (CDM), a method to train different diffusion models (or prompts) on distinct data sources and arbitrarily compose them at inference time. The individual models can be trained in isolation, at different times, and on different distributions and domains and can be later composed to achieve performance comparable to a paragon model trained on all data simultaneously. Furthermore, each model only contains information about the subset of the data it was exposed to during training, enabling several forms of training data protection. In particular, CDMs enable perfect selective forgetting and continual learning for large-scale diffusion models, allow serving customized models based on the user's access rights. Empirically the quality (FID) of the class-conditional CDMs (8-splits) is within 10% (on fine-grained vision datasets) of a monolithic model (no splits), and allows (8x) faster forgetting compared monolithic model with a maximum FID increase of 1%. When applied to text-to-image generation, CDMs improve alignment (TIFA) by 14.33% over a monolithic model trained on MSCOCO. CDMs also allow determining the importance of a subset of the data (attribution) in generating particular samples, and reduce memorization.",,2308.01937v4,arxiv,arxiv,,"training_data_attribution, memorization, continual_learning",9,64.93,2026-07-02T08:00:49+00:00
2302.03519v2,Efficient Parametric Approximations of Neural Network Function Space Distance,"Nikita Dhawan, Sicong Huang, Juhan Bae, Roger Grosse",arXiv,2023-02-07,2023,http://arxiv.org/abs/2302.03519v2,https://github.com/nikitadhawan/laftr,high,"It is often useful to compactly summarize important properties of model parameters and training data so that they can be used later without storing and/or iterating over the entire dataset. As a specific case, we consider estimating the Function Space Distance (FSD) over a training set, i.e. the average discrepancy between the outputs of two neural networks. We propose a Linearized Activation Function TRick (LAFTR) and derive an efficient approximation to FSD for ReLU neural networks. The key idea is to approximate the architecture as a linear network with stochastic gating. Despite requiring only one parameter per unit of the network, our approach outcompetes other parametric approximations with larger memory requirements. Applied to continual learning, our parametric approximation is competitive with state-of-the-art nonparametric approximations, which require storing many training examples. Furthermore, we show its efficacy in estimating influence functions accurately and detecting mislabeled examples without expensive iterations over the entire dataset.",,2302.03519v2,arxiv,arxiv,,"influence_functions, continual_learning",8,62.57,2026-07-02T08:00:49+00:00
2207.04806v2,Repairing Neural Networks by Leaving the Right Past Behind,"Ryutaro Tanno, Melanie F. Pradier, Aditya Nori, Yingzhen Li",arXiv,2022-07-11,2022,http://arxiv.org/abs/2207.04806v2,https://github.com/zjunlp/KnowledgeEditingPapers,high,"Prediction failures of machine learning models often arise from deficiencies in training data, such as incorrect labels, outliers, and selection biases. However, such data points that are responsible for a given failure mode are generally not known a priori, let alone a mechanism for repairing the failure. This work draws on the Bayesian view of continual learning, and develops a generic framework for both, identifying training examples that have given rise to the target failure, and fixing the model through erasing information about them. This framework naturally allows leveraging recent advances in continual learning to this new problem of model repairment, while subsuming the existing works on influence functions and data deletion as specific instances. Experimentally, the proposed approach outperforms the baselines for both identification of detrimental training data and fixing model failures in a generalisable manner.",,2207.04806v2,arxiv,arxiv,,"influence_functions, continual_learning",8,61.32,2026-07-02T08:00:49+00:00
2304.10177v1,Regularizing Second-Order Influences for Continual Learning,"Zhicheng Sun, Yadong Mu, Gang Hua",arXiv,2023-04-20,2023,http://arxiv.org/abs/2304.10177v1,https://github.com/xialeiliu/Awesome-Incremental-Learning,high,"Continual learning aims to learn on non-stationary data streams without catastrophically forgetting previous knowledge. Prevalent replay-based methods address this challenge by rehearsing on a small buffer holding the seen data, for which a delicate sample selection strategy is required. However, existing selection schemes typically seek only to maximize the utility of the ongoing selection, overlooking the interference between successive rounds of selection. Motivated by this, we dissect the interaction of sequential selection steps within a framework built on influence functions. We manage to identify a new class of second-order influences that will gradually amplify incidental bias in the replay buffer and compromise the selection process. To regularize the second-order effects, a novel selection objective is proposed, which also has clear connections to two widely adopted criteria. Furthermore, we present an efficient implementation for optimizing the proposed criterion. Experiments on multiple continual learning benchmarks demonstrate the advantage of our approach over state-of-the-art methods. Code is available at https://github.com/feifeiobama/InfluenceCL.",,2304.10177v1,arxiv,arxiv,,"influence_functions, continual_learning",7,60.22,2026-07-02T08:00:49+00:00
2201.09381v2,vCLIMB: A Novel Video Class Incremental Learning Benchmark,"Andrés Villa, Kumail Alhamoud, Juan León Alcázar, Fabian Caba Heilbron, Victor Escorcia, Bernard Ghanem",arXiv,2022-01-23,2022,http://arxiv.org/abs/2201.09381v2,https://github.com/xialeiliu/Awesome-Incremental-Learning,high,"Continual learning (CL) is under-explored in the video domain. The few existing works contain splits with imbalanced class distributions over the tasks, or study the problem in unsuitable datasets. We introduce vCLIMB, a novel video continual learning benchmark. vCLIMB is a standardized test-bed to analyze catastrophic forgetting of deep models in video continual learning. In contrast to previous work, we focus on class incremental continual learning with models trained on a sequence of disjoint tasks, and distribute the number of classes uniformly across the tasks. We perform in-depth evaluations of existing CL methods in vCLIMB, and observe two unique challenges in video data. The selection of instances to store in episodic memory is performed at the frame level. Second, untrimmed training data influences the effectiveness of frame sampling strategies. We address these two challenges by proposing a temporal consistency regularization that can be applied on top of memory-based continual learning methods. Our approach significantly improves the baseline, by up to 24% on the untrimmed continual learning task.",,2201.09381v2,arxiv,arxiv,,continual_learning,6,56.62,2026-07-02T08:00:49+00:00
2306.14113v1,Exploring Data Redundancy in Real-world Image Classification through Data Selection,"Zhenyu Tang, Shaoting Zhang, Xiaosong Wang",arXiv,2023-06-25,2023,http://arxiv.org/abs/2306.14113v1,,none,"Deep learning models often require large amounts of data for training, leading to increased costs. It is particularly challenging in medical imaging, i.e., gathering distributed data for centralized training, and meanwhile, obtaining quality labels remains a tedious job. Many methods have been proposed to address this issue in various training paradigms, e.g., continual learning, active learning, and federated learning, which indeed demonstrate certain forms of the data valuation process. However, existing methods are either overly intuitive or limited to common clean/toy datasets in the experiments. In this work, we present two data valuation metrics based on Synaptic Intelligence and gradient norms, respectively, to study the redundancy in real-world image data. Novel online and offline data selection algorithms are then proposed via clustering and grouping based on the examined data values. Our online approach effectively evaluates data utilizing layerwise model parameter updates and gradients in each epoch and can accelerate model training with fewer epochs and a subset (e.g., 19%-59%) of data while maintaining equivalent levels of accuracy in a variety of datasets. It also extends to the offline coreset construction, producing subsets of only 18%-30% of the original. The codes for the proposed adaptive data selection and coreset computation are available (https://github.com/ZhenyuTANG2023/data_selection).",,2306.14113v1,arxiv,arxiv,,"data_valuation, continual_learning, federated_learning, rehearsal",8,52.57,2026-07-02T08:00:49+00:00
